jobId,Job Type,State,Start Time,Duration
bquijob_4490d18d_153570f8a73,query,FAILURE,08 Mar 16:29:09,0:00:01
bquijob_1429725e_153570f4514,query,FAILURE,08 Mar 16:28:52,0:00:00
job_KXhb3RnSgiEjqRYKz3l-JiR15oY,query,FAILURE,07 Mar 21:43:03,0:00:00
job_Rn2KxJoEVBs0hQ4vLwurTcnFHdg,query,FAILURE,07 Mar 21:42:35,0:00:00
job_jdTUE30h0nNKlUljECZyENKJg6Q,query,FAILURE,07 Mar 21:42:21,0:00:00
job_MP6eyqpb8X6dFpM79T9_JUHBSm4,query,FAILURE,07 Mar 21:42:07,0:00:00
job_-ywjXsDG7ikFaY01kFNQ7T-6Wd8,query,SUCCESS,07 Mar 21:41:16,0:00:03
job_6EIs-gSRdfKxN7Zcyjzymd7J6XU,query,SUCCESS,07 Mar 21:23:10,0:00:12
job_rUQdZj9BLdN7szWuLdV30mNjUMc,query,SUCCESS,07 Mar 21:22:48,0:00:10
job_B-JqihIH3udynEZTALtK1hzcOxc,query,SUCCESS,07 Mar 21:22:16,0:00:08
job_7jfG38pUV6cCsTxvGzsIu11pTKw,query,SUCCESS,07 Mar 21:21:19,0:00:08
bquijob_31da72cd_1533c79c4a2,query,SUCCESS,03 Mar 12:35:27,0:00:04
bquijob_721de073_1533c795901,query,SUCCESS,03 Mar 12:34:59,0:00:03
bquijob_29d57b65_1533c6f66dc,query,SUCCESS,03 Mar 12:24:07,0:00:05
bquijob_7c8c22a4_1533c6ee43a,query,SUCCESS,03 Mar 12:23:35,0:00:02
bquijob_11c46dbc_1533c6d64cb,query,SUCCESS,03 Mar 12:21:55,0:00:03
bquijob_95e6ddf_1533c6d4efc,query,FAILURE,03 Mar 12:21:50,0:00:00
bquijob_135c312a_1533c6c7f36,query,SUCCESS,03 Mar 12:20:57,0:00:06
bquijob_3351b431_1533c52b33f,query,SUCCESS,03 Mar 11:52:46,0:00:06
bquijob_6c2343d0_1533c524098,query,FAILURE,03 Mar 11:52:17,0:00:00
bquijob_5d0426b0_1533c520047,query,FAILURE,03 Mar 11:52:00,0:00:00
bquijob_69601f79_1533c51e835,query,FAILURE,03 Mar 11:51:54,0:00:00
bquijob_720814c7_1533c514d48,query,FAILURE,03 Mar 11:51:15,0:00:00
bquijob_5abf8743_1533c508685,query,SUCCESS,03 Mar 11:50:24,0:00:01
job_iKKHcImS8mXMDFwcUm1deD48RWM,query,SUCCESS,03 Mar 09:41:23,0:00:20
job_X14wANIZeJIT7JutOdKL7f5n0rs,query,FAILURE,03 Mar 09:40:41,0:00:00
job_8OxfoJCoMpX6MbNBX2g5R0DYLP8,query,SUCCESS,02 Mar 18:12:29,0:00:29
bquijob_400af77d_15338872eab,query,SUCCESS,02 Mar 18:11:37,0:00:31
bquijob_44f2b468_1533886f0c7,query,FAILURE,02 Mar 18:11:21,0:00:00
