"","RepoEvents","Freq","CumFreq","Fork"
"603",1394,9,9529,FALSE
"604",1866,9,9538,FALSE
"605",1426,9,9547,FALSE
"606",1390,9,9556,FALSE
"607",1651,9,9565,FALSE
"608",1747,9,9574,FALSE
"609",1961,9,9583,FALSE
"610",1737,9,9592,FALSE
"611",1903,9,9601,FALSE
"612",1827,9,9610,FALSE
"613",2025,9,9619,FALSE
"614",1465,9,9628,FALSE
"615",1712,9,9637,FALSE
"616",1539,9,9646,FALSE
"617",1915,9,9655,FALSE
"618",2059,9,9664,FALSE
"619",1864,9,9673,FALSE
"620",1127,9,9682,FALSE
"621",1616,9,9691,FALSE
"622",1535,9,9700,FALSE
"623",1459,9,9709,FALSE
"624",2189,9,9718,FALSE
"625",1295,9,9727,FALSE
"626",2045,9,9736,FALSE
"627",1698,9,9745,FALSE
"628",1686,9,9754,FALSE
"629",1336,9,9763,FALSE
"630",1392,9,9772,FALSE
"631",1649,9,9781,FALSE
"632",1455,9,9790,FALSE
"633",2151,9,9799,FALSE
"634",1264,9,9808,FALSE
"635",2134,9,9817,FALSE
"636",1711,9,9826,FALSE
"637",1323,9,9835,FALSE
"638",1569,9,9844,FALSE
"639",1326,9,9853,FALSE
"640",1505,9,9862,FALSE
"641",1743,9,9871,FALSE
"642",1735,9,9880,FALSE
"643",2448,9,9889,FALSE
"644",1490,9,9898,FALSE
"645",1654,9,9907,FALSE
"646",1717,9,9916,FALSE
"647",1458,9,9925,FALSE
"648",1942,9,9934,FALSE
"649",1594,9,9943,FALSE
"650",1778,9,9952,FALSE
"651",1662,9,9961,FALSE
"652",1652,9,9970,FALSE
"653",1633,9,9979,FALSE
"654",1858,9,9988,FALSE
"655",1789,9,9997,FALSE
"656",1567,9,10006,FALSE
"657",1642,9,10015,FALSE
"658",2029,9,10024,FALSE
"659",1404,9,10033,FALSE
"660",1570,8,10041,FALSE
"661",1495,8,10049,FALSE
"662",1584,8,10057,FALSE
"663",1725,8,10065,FALSE
"664",2081,8,10073,FALSE
"665",2417,8,10081,FALSE
"666",1598,8,10089,FALSE
"667",1609,8,10097,FALSE
"668",1770,8,10105,FALSE
"669",1473,8,10113,FALSE
"670",1551,8,10121,FALSE
"671",2224,8,10129,FALSE
"672",2075,8,10137,FALSE
"673",1697,8,10145,FALSE
"674",1862,8,10153,FALSE
"675",1924,8,10161,FALSE
"676",1354,8,10169,FALSE
"677",1969,8,10177,FALSE
"678",1977,8,10185,FALSE
"679",1945,8,10193,FALSE
"680",1508,8,10201,FALSE
"681",1751,8,10209,FALSE
"682",2378,8,10217,FALSE
"683",1872,8,10225,FALSE
"684",1876,8,10233,FALSE
"685",1659,8,10241,FALSE
"686",2295,8,10249,FALSE
"687",1344,8,10257,FALSE
"688",1412,8,10265,FALSE
"689",1882,8,10273,FALSE
"690",2133,8,10281,FALSE
"691",1708,8,10289,FALSE
"692",1787,8,10297,FALSE
"693",1665,8,10305,FALSE
"694",2118,8,10313,FALSE
"695",1661,8,10321,FALSE
"696",2457,8,10329,FALSE
"697",1645,8,10337,FALSE
"698",1964,8,10345,FALSE
"699",1733,8,10353,FALSE
"700",1361,8,10361,FALSE
"701",1963,8,10369,FALSE
"702",1720,8,10377,FALSE
"703",1556,8,10385,FALSE
"704",2682,8,10393,FALSE
"705",1790,8,10401,FALSE
"706",1860,8,10409,FALSE
"707",1611,8,10417,FALSE
